Symbol,EntryPrice,ExitPrice,Shares,InitialRisk,ProfitLoss,RiskReward,EntryDate,ExitDate,ExitReason,IsWinner,AccountSize
GRRR,19.95,23.52,8.00,1.80,28.56,1.98,2025-01-02,2025-01-03,Strong EP - 30% sold,true,9629.56
GRRR,19.95,19.95,20.00,1.80,0.00,0.00,2025-01-02,2025-01-06,Trailing Stop Hit (Profit Protected) (Previous partial profits: $28.56),true,10028.56
ONDS,3.24,3.06,279.00,0.18,-50.22,-1.00,2025-01-03,2025-01-06,Stop Loss Hit,false,8990.34
SPCB,9.50,9.02,104.00,0.48,-49.92,-1.00,2025-01-03,2025-01-06,Stop Loss Hit,false,9928.42
AMPG,4.78,3.42,276.00,0.18,-375.36,-7.56,2025-01-06,2025-01-06,Weak Close on EP Day,false,4768.74
PPTA,13.00,12.46,88.00,0.54,-47.52,-1.00,2025-01-06,2025-01-07,Stop Loss Hit,false,4221.90
NUKK,24.52,23.61,55.00,0.91,-50.05,-1.00,2025-01-06,2025-01-07,Stop Loss Hit,false,5520.45
CRNC,24.79,23.62,42.00,1.17,-49.14,-1.00,2025-01-06,2025-01-07,Stop Loss Hit,false,6512.49
ASAN,22.59,22.12,106.00,0.47,-49.82,-1.00,2025-01-06,2025-01-07,Stop Loss Hit,false,9308.65
GFAI,2.92,2.64,171.00,0.28,-47.88,-1.00,2025-01-06,2025-01-07,Stop Loss Hit,false,9308.65
ENVX,14.49,14.04,103.00,0.45,-46.35,-1.00,2025-01-07,2025-01-08,Stop Loss Hit,false,9262.30
AUR,9.40,8.92,96.00,0.48,-46.08,-1.00,2025-01-07,2025-01-08,Stop Loss Hit,false,9216.22
INTZ,2.29,2.19,768.00,0.06,-77.11,-1.67,2025-01-10,2025-01-10,Weak Close on EP Day,false,9139.11
VRME,1.92,4.13,114.00,0.12,251.94,18.42,2025-01-10,2025-01-13,Strong EP - 30% sold,true,7908.44
VRME,1.92,3.20,66.00,0.12,84.48,10.67,2025-01-10,2025-01-14,Profit Level 2 at 10.67R,true,8119.64
VRME,1.92,4.24,50.00,0.12,116.00,19.33,2025-01-10,2025-01-15,Profit Level 3 at 19.33R,true,8331.64
WKEY,7.46,7.46,130.00,0.35,0.00,0.00,2025-01-10,2025-01-17,Stop Loss Hit,false,9301.61
VRME,1.92,4.04,151.00,0.12,320.42,17.68,2025-01-10,2025-01-17,Trailing Stop Hit (Profit Protected) (Previous partial profits: $452.42),true,9911.95
HHH,78.00,77.33,74.00,0.67,-49.58,-1.00,2025-01-13,2025-01-14,Stop Loss Hit,false,9862.37
RGTI,6.80,10.94,61.00,0.24,252.54,17.25,2025-01-14,2025-01-15,Strong EP - 30% sold,true,1000.79
APLD,9.55,9.07,103.00,0.48,-49.44,-1.00,2025-01-14,2025-01-15,Stop Loss Hit,false,1935.00
AMPX,3.79,3.60,260.00,0.19,-49.40,-1.00,2025-01-14,2025-01-15,Stop Loss Hit,false,2871.00
QUBT,7.36,11.55,47.00,0.32,197.17,13.32,2025-01-14,2025-01-15,Strong EP - 30% sold,true,3413.85
QBTS,4.25,5.79,123.00,0.12,189.42,12.83,2025-01-14,2025-01-15,Strong EP - 30% sold,true,4126.02
MSTX,47.31,51.62,17.00,0.71,73.27,6.07,2025-01-14,2025-01-15,Profit Level 1 at 6.07R,true,5003.56
MSTX,47.31,53.46,13.00,0.71,79.95,8.66,2025-01-14,2025-01-16,Profit Level 2 at 8.66R,true,5698.54
QUBT,7.36,10.88,27.00,0.32,95.18,11.19,2025-01-14,2025-01-16,Profit Level 2 at 11.19R,true,5992.30
RGTI,6.80,11.24,36.00,0.24,159.84,18.50,2025-01-14,2025-01-16,Profit Level 2 at 18.50R,true,6396.94
QBTS,4.25,5.81,72.00,0.12,112.32,13.00,2025-01-14,2025-01-16,Profit Level 2 at 13.00R,true,6815.26
MSTX,47.31,61.91,9.00,0.71,131.40,20.56,2025-01-14,2025-01-17,Profit Level 3 at 20.56R,true,7372.45
RGTI,6.80,9.83,27.00,0.24,81.81,12.62,2025-01-14,2025-01-17,Profit Level 3 at 12.62R,true,7637.86
QBTS,4.25,5.27,54.00,0.12,55.08,8.50,2025-01-14,2025-01-17,Profit Level 3 at 8.50R,true,7922.44
QUBT,7.36,9.83,20.00,0.32,49.50,7.86,2025-01-14,2025-01-17,Profit Level 3 at 7.86R,true,8119.04
MSTX,47.31,56.06,30.00,0.71,262.55,12.33,2025-01-14,2025-01-22,Trailing Stop Hit (Profit Protected) (Previous partial profits: $284.62),true,9800.89
QBTS,4.25,6.98,162.00,0.12,442.33,22.75,2025-01-14,2025-01-22,Trailing Stop Hit (Profit Protected) (Previous partial profits: $356.82),true,11787.89
QUBT,7.36,13.59,63.00,0.32,392.81,19.79,2025-01-14,2025-01-22,Trailing Stop Hit (Profit Protected) (Previous partial profits: $341.84),true,10657.06
RGTI,6.80,13.14,81.00,0.24,513.64,26.42,2025-01-14,2025-01-27,Trailing Stop Hit (Profit Protected) (Previous partial profits: $494.19),true,12852.33
COMP,6.41,6.73,267.00,0.06,85.44,5.33,2025-01-15,2025-01-16,Profit Level 1 at 5.33R,true,7784.13
COMP,6.41,6.76,201.00,0.06,70.35,5.83,2025-01-15,2025-01-17,Profit Level 2 at 5.83R,true,9142.89
COMP,6.41,6.75,150.00,0.06,51.00,5.67,2025-01-15,2025-01-21,Profit Level 3 at 5.67R,true,10155.39
COMP,6.41,9.63,453.00,0.06,1456.67,53.59,2025-01-15,2025-02-21,Trailing Stop Hit (Profit Protected) (Previous partial profits: $206.79),true,14515.79
RR,3.12,2.83,250.00,0.29,-72.48,-1.00,2025-01-15,2025-01-16,Stop Loss Hit,false,14443.31
GSIT,3.01,3.52,309.00,0.07,157.59,7.29,2025-01-17,2025-01-21,Strong EP - 30% sold,true,12424.67
GSIT,3.01,3.55,180.00,0.07,97.20,7.71,2025-01-17,2025-01-22,Profit Level 2 at 7.71R,true,13063.67
GSIT,3.01,3.64,135.00,0.07,85.05,9.00,2025-01-17,2025-01-23,Profit Level 3 at 9.00R,true,13555.07
GSIT,3.01,3.15,408.00,0.07,57.12,2.00,2025-01-17,2025-01-27,Trailing Stop Hit (Profit Protected) (Previous partial profits: $339.84),true,14840.27
PRZO,2.42,2.17,297.00,0.25,-74.25,-1.00,2025-01-17,2025-01-21,Stop Loss Hit,false,14766.02
NVNI,23.70,40.40,30.00,2.50,500.97,6.68,2025-01-24,2025-01-24,Weak Close on EP Day,true,15266.99
FTAI,151.04,147.57,22.00,3.47,-76.34,-1.00,2025-02-20,2025-02-21,Stop Loss Hit,false,15190.65
CRDO,137.60,147.53,8.00,2.21,79.44,4.49,2025-09-04,2025-09-08,Profit Level 1 at 4.49R,true,11692.49
CRDO,137.60,149.03,6.00,2.21,68.58,5.17,2025-09-04,2025-09-09,Profit Level 2 at 5.17R,true,12586.67
CRDO,137.60,163.96,5.00,2.21,131.80,11.93,2025-09-04,2025-09-10,Profit Level 3 at 11.93R,true,13406.47
CRDO,137.60,161.97,15.00,2.21,365.57,11.03,2025-09-04,2025-09-24,Trailing Stop Hit (Profit Protected) (Previous partial profits: $279.82),true,15836.04
TE,3.69,3.66,2639.00,0.03,-79.17,-1.00,2025-10-10,2025-10-13,Stop Loss Hit,false,15756.87
