stock_symbol,entry_price,stop_loss_price,shares,initial_risk,date
GRRR,$13.605,$12.68,54,6.80,2025-01-13
KULR,$11.99,$11.84,333,1.25,2025-03-28
APLD,$9.76,$9.65,455,1.13,2025-06-02
RVSN,$2.06,$1.9095,332,7.31,2025-01-07
SILO,$1.95,$1.90,1000,2.56,2025-01-14
RCAT,$14.15,$14.0225,392,0.90,2025-10-06
STEM,$17.94,$17.04,56,5.02,2025-01-03
CAN,$2.08,$2.04,1250,1.92,2025-10-20
LAES,$3.57,$3.56,5000,0.28,2025-03-17
QUBT,$6.59,$6.52,714,1.06,2025-03-14
QBTS,$7.00,$6.80,250,2.86,2025-01-22
AMPX,$8.08,$7.96,417,1.49,2025-08-08
CDRE,$34.76,$34.63,385,0.37,2025-05-07
QUBT,$7.8907,$7.8200,707,0.90,2025-03-17
ARBE,$3.12,$2.96,312,5.13,2025-01-14
OPTX,$2.81,$2.80,5000,0.36,2025-01-02
RCAT,$6.50,$6.46,1250,0.62,2025-06-02
NUKK,$34.78,$32.88,26,5.47,2025-01-17
GRRR,$19.5893,$19.47,419,0.61,2025-09-17
APLD,$13.79,$13.65,357,1.05,2025-07-31
CAN,$1.42,$1.40,2500,1.41,2025-10-31
AMPX,$5.18,$5.13,1000,0.97,2025-07-08
KULR,$30.80,$28.32,20,8.05,2025-01-06
CRNC,$11.63,$11.44,263,1.63,2025-11-03
INVZ,$1.68,$1.67,5000,0.60,2025-07-10
RCAT,$10.29,$10.03,192,2.53,2025-01-15
RR,$6.72,$6.675,1111,0.67,2025-10-06
LITM,$10.59,$10.05,93,5.10,2025-01-10
MSTX,$51.40,$50.40,50,1.95,2025-01-15
MVST,$6.82,$6.78,1250,0.51,2025-10-16
NITO,$46.20,$42.35,13,8.33,2025-01-31
KULR,$30.96,$30.40,89,1.81,2025-01-02
QBTS,$32.94,$32.72,227,0.67,2025-10-23
GRRR,$28.30,$27.85,111,1.60,2025-03-12
WKEY,$14.94,$14.40,93,3.61,2025-10-29
ENVX,$14.49,$14.04,111,3.11,2025-01-07
MYSE,$5.34,$5.05,172,5.43,2025-01-13
SPCB,$14.74,$14.32,119,2.85,2025-01-21
GRRR,$26.575,$26.42,323,0.58,2025-03-24
OPTT,$0.7472,$0.73,2907,2.30,2025-01-31
MSTX,$58.41,$57.28,44,1.93,2025-01-17
QBTS,$6.91,$6.8625,1053,0.69,2025-04-08
QUBT,$24.08,$23.86,227,0.91,2025-10-03
DXYZ,$53.50,$53.06,114,0.82,2025-01-14
ONDS,$1.9999,$1.97,1672,1.50,2025-06-09
RR,$2.22,$2.19,1667,1.35,2025-07-23
ONDS,$4.16,$4.10,833,1.38,2025-08-12
MVST,$2.26,$2.17,556,3.98,2025-01-02
ONDS,$1.5091,$1.4800,1718,1.93,2025-06-03
SES,$1.08,$0.96,417,11.09,2025-01-23
SENS,$10.18,$9.62,89,5.48,2025-01-10
ONDS,$9.979,$9.9201,849,0.59,2025-10-13
GSIT,$3.01,$2.94,714,2.33,2025-01-17
ONDS,$2.10,$2.07,1667,1.43,2025-06-30
LAES,$6.62,$6.5601,835,0.90,2025-10-20
PDYN,$7.96,$7.50,109,5.78,2025-01-14
QBTS,$6.035,$5.85,270,3.07,2025-01-15
LITM,$10.40,$10.27,385,1.25,2025-02-04
CAN,$1.84,$1.8211,2646,1.03,2025-10-24
RR,$2.57,$2.56,5000,0.39,2025-05-29
QSI,$2.247,$2.240,7143,0.31,2025-10-23
LAES,$6.025,$6.00,2000,0.41,2025-10-23
IONQ,$32.92,$32.41,98,1.55,2025-01-15
QBTS,$9.28,$9.115,303,1.78,2025-05-08
ONDS,$6.71,$6.31,125,5.96,2025-11-13
ARBE,$2.82,$2.73,556,3.19,2025-02-06
MYSE,$2.43,$2.32,455,4.53,2025-01-07
CAN,$1.91,$1.89,2500,1.05,2025-10-15
GRRR,$19.30,$19.00,167,1.55,2025-04-14
GSIT,$13.00,$12.09,55,7.00,2025-10-21
HBM,$8.361,$8.336,2000,0.30,2025-05-12
STEM,$24.71,$24.64,714,0.28,2025-10-20
IONQ,$30.10,$29.88,227,0.72,2025-05-08
LAES,$4.83,$4.68,333,3.11,2025-01-17
ONDS,$3.06,$2.89,294,5.56,2025-01-06
CTM,$1.03,$0.91,417,11.38,2025-01-14
CTM,$1.90,$1.86,1250,2.11,2025-01-06
PATH,$13.28,$13.24,1250,0.34,2025-05-30
QUBT,$8.86,$8.51,143,3.95,2025-01-15
NVNI,$62.29,$59.52,18,4.45,2025-02-05
RGTI,$11.51,$11.45,833,0.53,2025-05-12
CRNC,$24.79,$23.62,43,4.70,2025-01-06
QSI,$2.41,$2.26,333,6.22,2025-01-15
REKR,$1.70,$1.66,1250,2.35,2025-01-02
KULR,$13.44,$13.20,208,1.79,2025-03-17
LAES,$6.92,$6.75,294,2.46,2025-01-02
ACMR,$24.315,$24.23,588,0.35,2025-05-12
HOUR,$3.82,$3.75,714,1.83,2025-09-12
